command: python3 tmp/lkjagent-yolo-amplified-thinking-packet-20260708/11-scripts/prompt_context_lint.py .
tmp/coding-agent-runs/20260707T053900Z-tui-finish/live/live-data-900/protocol-stress/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T053900Z-tui-finish/live/live-data-900/protocol-stress/logs/case-1/decision-case-1-decision-0002/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T053900Z-tui-finish/live/live-data-900/protocol-stress/logs/case-1/decision-case-1-decision-0003/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T041300Z-next-redesign-completion/live/live-data/software-project/logs/case-1/decision-case-1-decision-0002/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T041300Z-next-redesign-completion/live/live-data/software-project/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T041300Z-next-redesign-completion/live/live-data/protocol-stress/logs/case-1/decision-case-1-decision-0003/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T041300Z-next-redesign-completion/live/live-data/protocol-stress/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T041300Z-next-redesign-completion/live/live-data/protocol-stress/logs/case-1/decision-case-1-decision-0002/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T041300Z-next-redesign-completion/live/live-data/structured-artifact/logs/case-1/decision-case-1-decision-0005/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T041300Z-next-redesign-completion/live/live-data/structured-artifact/logs/case-1/decision-case-1-decision-0008/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T041300Z-next-redesign-completion/live/live-data/structured-artifact/logs/case-1/decision-case-1-decision-0002/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T041300Z-next-redesign-completion/live/live-data/structured-artifact/logs/case-1/decision-case-1-decision-0006/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T041300Z-next-redesign-completion/live/live-data/structured-artifact/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T041300Z-next-redesign-completion/live/live-data/structured-artifact/logs/case-1/decision-case-1-decision-0003/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T041300Z-next-redesign-completion/live/live-data/structured-artifact/logs/case-1/decision-case-1-decision-0004/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T041300Z-next-redesign-completion/live/live-data/structured-artifact/logs/case-1/decision-case-1-decision-0007/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T041300Z-next-redesign-completion/live/live-data/personal-workspace/logs/case-1/decision-case-1-decision-0003/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T041300Z-next-redesign-completion/live/live-data/personal-workspace/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/probe-data-20260708T180141Z/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/probe-data-20260708T110203Z/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/probe-data-20260709T041854Z/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/probe-data-baseline-docs/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708-bounded/structured-artifact/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708-bounded/software-project/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708-bounded/protocol-stress/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tstandardenv/structured-artifact/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tstandardenv/structured-artifact/logs/case-1/decision-case-1-decision-0003/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tstandardenv/protocol-stress/logs/case-1/decision-case-1-decision-0006/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tstandardenv/protocol-stress/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tstandardenv/protocol-stress/logs/case-1/decision-case-1-decision-0012/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tstandardenv/protocol-stress/logs/case-1/decision-case-1-decision-0005/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tstandardenv/protocol-stress/logs/case-1/decision-case-1-decision-0008/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tstandardenv/protocol-stress/logs/case-1/decision-case-1-decision-0002/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tstandardenv/protocol-stress/logs/case-1/decision-case-1-decision-0011/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tstandardenv/protocol-stress/logs/case-1/decision-case-1-decision-0007/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tstandardenv/protocol-stress/logs/case-1/decision-case-1-decision-0010/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tstandardenv/protocol-stress/logs/case-1/decision-case-1-decision-0003/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tstandardenv/protocol-stress/logs/case-1/decision-case-1-decision-0009/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tstandardenv/protocol-stress/logs/case-1/decision-case-1-decision-0004/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tstandardenv/software-project/logs/case-1/decision-case-1-decision-0002/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tstandardenv/software-project/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tstandardenv/software-project/logs/case-1/decision-case-1-decision-0003/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tstandardenv/software-project/logs/case-1/decision-case-1-decision-0004/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tliveenv/structured-artifact/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tliveenv/structured-artifact/logs/case-1/decision-case-1-decision-0003/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tliveenv/protocol-stress/logs/case-1/decision-case-1-decision-0003/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tliveenv/protocol-stress/logs/case-1/decision-case-1-decision-0002/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tliveenv/protocol-stress/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/live-profile-data/20260708Tliveenv/software-project/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/probe-data-20260708T115614Z/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
data/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
data/logs/case-1/decision-case-1-decision-0002/prompt-frame.json:1: json-like prompt context
